trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
104,False,"{'a': 0.5, 'e': 0.1}",20,0,15.094094132522212,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.1}",20,0,-48.097906011666005,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.1}",25,0,33.345151050356016,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.1}",25,0,-24.364797910265203,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.1}",25,0,19.64115143094915,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.1}",20,15,9.114829404550992,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.1}",20,0,-11.923589902857156,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.1}",35,0,31.18250810789666,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.1}",20,0,15.311445489713368,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.1}",25,0,20.166161121758517,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.1}",20,0,-21.43918709409499,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.1}",25,0,-11.143697817705467,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.1}",25,0,-62.47806800504867,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.1}",25,0,35.704159394771665,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.1}",20,7,19.41573737605593,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.1}",20,0,24.07084455412741,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.1}",20,0,-51.96017305202673,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.1}",25,0,32.685118675676826,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.1}",20,7,-6.342578213137903,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.1}",25,0,8.931274096865291,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.1}",20,8,16.192854061365924,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.1}",25,0,19.22648442593227,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
