trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
539,False,"{'a': 0.5, 'e': 0.06754238177422488}",25,0,23.155037602842516,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
540,False,"{'a': 0.5, 'e': 0.06720551273975013}",20,0,11.003540002381587,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
541,False,"{'a': 0.5, 'e': 0.06687032384659418}",20,0,22.292982315336026,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
542,False,"{'a': 0.5, 'e': 0.06653680671501722}",30,0,-13.927809223070529,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
543,False,"{'a': 0.5, 'e': 0.06620495300707359}",25,15,15.566484881885868,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
544,False,"{'a': 0.5, 'e': 0.06587475442640332}",20,0,3.4420818963487427,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
545,False,"{'a': 0.5, 'e': 0.0655462027180247}",30,0,29.088938715575242,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
546,False,"{'a': 0.5, 'e': 0.06521928966812789}",25,0,18.27945295706151,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
547,False,"{'a': 0.5, 'e': 0.06489400710386962}",25,4,11.331661107426159,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
548,False,"{'a': 0.5, 'e': 0.06457034689316886}",35,5,17.868950514397834,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",1
549,False,"{'a': 0.5, 'e': 0.06424830094450346}",25,1,5.0537741236326745,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 0}",1
550,False,"{'a': 0.5, 'e': 0.06392786120670793}",25,5,30.19492230147839,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
551,False,"{'a': 0.5, 'e': 0.06360901966877217}",30,0,32.12596450039155,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
552,False,"{'a': 0.5, 'e': 0.06329176835964108}",20,4,22.295830615160778,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
553,False,"{'a': 0.5, 'e': 0.06297609934801544}",20,11,16.634852967054833,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
554,False,"{'a': 0.5, 'e': 0.06266200474215351}",20,4,22.44693920649287,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
555,False,"{'a': 0.5, 'e': 0.062349476689673784}",20,16,6.881990546470146,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
556,False,"{'a': 0.5, 'e': 0.062038507377358665}",20,0,11.529216689077906,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
557,False,"{'a': 0.5, 'e': 0.06172908903095916}",20,0,25.94233539362982,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
558,False,"{'a': 0.5, 'e': 0.06142121391500049}",20,0,32.76165751981588,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
559,False,"{'a': 0.5, 'e': 0.06111487433258871}",20,0,18.490868521424137,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
560,False,"{'a': 0.5, 'e': 0.06081006262521832}",20,5,17.607491020811107,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
561,False,"{'a': 0.5, 'e': 0.06050677117258075}",25,6,23.94778169096833,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
562,False,"{'a': 0.5, 'e': 0.060204992392373896}",30,0,35.29292022877016,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
563,False,"{'a': 0.5, 'e': 0.05990471874011253}",20,0,23.314733469397527,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
564,False,"{'a': 0.5, 'e': 0.05960594270893971}",20,8,4.674144996087884,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
565,False,"{'a': 0.5, 'e': 0.05930865682943909}",25,0,22.744175525913082,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
566,False,"{'a': 0.5, 'e': 0.059012853669448195}",25,0,8.268779534629113,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
567,False,"{'a': 0.5, 'e': 0.05871852583387263}",20,0,29.508901420268323,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
568,False,"{'a': 0.5, 'e': 0.05842566596450117}",25,18,10.15596436898103,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
569,False,"{'a': 0.5, 'e': 0.058134266739821826}",20,0,23.12079427608937,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
570,False,"{'a': 0.5, 'e': 0.05784432087483881}",20,0,23.50255979756429,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
571,False,"{'a': 0.5, 'e': 0.05755582112089039}",30,4,39.67147229980543,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
572,False,"{'a': 0.5, 'e': 0.05726876026546769}",30,15,-40.169830035831595,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
573,False,"{'a': 0.5, 'e': 0.05698313113203438}",25,0,36.12690698876534,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
574,False,"{'a': 0.5, 'e': 0.05669892657984725}",20,14,10.950761735667248,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
575,False,"{'a': 0.5, 'e': 0.05641613950377768}",30,0,38.926247436385665,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
576,False,"{'a': 0.5, 'e': 0.05613476283413406}",20,14,11.934807910469226,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
577,False,"{'a': 0.5, 'e': 0.05585478953648497}",25,0,15.007101908116729,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
578,False,"{'a': 0.5, 'e': 0.0555762126114834}",25,11,27.273771792515213,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
579,False,"{'a': 0.5, 'e': 0.055299025094691714}",25,0,30.990386876648387,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
580,False,"{'a': 0.5, 'e': 0.05502322005640756}",20,10,-2.1321847169175037,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
581,False,"{'a': 0.5, 'e': 0.054748790601490606}",20,0,33.29599727813201,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
582,False,"{'a': 0.5, 'e': 0.05447572986919019}",25,18,13.263275426411404,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
583,False,"{'a': 0.5, 'e': 0.05420403103297379}",20,0,23.090824702115608,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
584,False,"{'a': 0.5, 'e': 0.05393368730035634}",25,0,33.25986503375229,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
585,False,"{'a': 0.5, 'e': 0.05366469191273045}",25,7,10.472777634689082,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
586,False,"{'a': 0.5, 'e': 0.05339703814519741}",20,4,21.035082888972493,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
587,False,"{'a': 0.5, 'e': 0.0531307193063991}",20,2,26.5671744089778,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
588,False,"{'a': 0.5, 'e': 0.05286572873835068}",20,0,27.593084803198092,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
589,False,"{'a': 0.5, 'e': 0.052602059816274145}",25,7,32.41513546038249,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
590,False,"{'a': 0.5, 'e': 0.05233970594843271}",20,2,26.571471702990742,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
591,False,"{'a': 0.5, 'e': 0.05207866057596601}",25,0,-16.862740443500687,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
592,False,"{'a': 0.5, 'e': 0.051818917172726145}",20,10,17.221067605599785,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
593,False,"{'a': 0.5, 'e': 0.0515604692451145}",25,10,27.138789610024272,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
594,False,"{'a': 0.5, 'e': 0.051303310331919434}",25,18,18.425026023391588,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
595,False,"{'a': 0.5, 'e': 0.05104743400415471}",30,12,30.954215836172043,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
596,False,"{'a': 0.5, 'e': 0.05079283386489881}",25,0,23.784543621648346,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
597,False,"{'a': 0.5, 'e': 0.050539503549134994}",20,0,12.818002392160308,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
598,False,"{'a': 0.5, 'e': 0.05028743672359218}",30,0,47.25985314991696,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
599,False,"{'a': 0.5, 'e': 0.05003662708658659}",20,0,18.540644226211302,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
600,False,"{'a': 0.5, 'e': 0.04978706836786424}",30,4,31.240435998087897,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,18.765478258356357,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,29.99726051095517,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,40.93861330005101,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,32.7808746730933,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,1,46.044254309289144,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,32.47271908617123,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,32.35687411258972,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,9,24.60459049893186,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,7,17.98917894628592,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,30.0810263893058,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
